Jared Abbrederis,WR,Wisconsin,College Stats,1-Jun,195,4.5,30.5,4,117,6.8,4.08,Green Bay Packers / 5th / 176th pick / 2014
Davante Adams,WR,Fresno State,College Stats,1-Jun,212,4.56,39.5,14,123,6.82,4.3,Green Bay Packers / 2nd / 53rd pick / 2014
Dri Archer,WR,Kent State,College Stats,8-May,173,4.26,38,20,122,6.86,4.06,Pittsburgh Steelers / 3rd / 97th pick / 2014
Kelvin Benjamin,WR,Florida State,College Stats,5-Jun,240,4.61,32.5,13,119,7.33,4.39,Carolina Panthers / 1st / 28th pick / 2014
Chris Boyd,WR,Vanderbilt,College Stats,4-Jun,206,4.73,,12,,,,
John Brown,WR,Pittsburg State,,10-May,179,4.34,36.5,,119,6.91,4.12,Arizona Cardinals / 3rd / 91st pick / 2014
Corey Brown,WR,Ohio State,College Stats,11-May,178,4.51,33,,116,7.16,4.22,
Martavis Bryant,WR,Clemson,College Stats,4-Jun,211,4.42,39,16,124,7.18,4.15,Pittsburgh Steelers / 4th / 118th pick / 2014
Isaiah Burse,WR,Fresno State,College Stats,10-May,188,4.58,31,16,115,6.74,3.94,
Trey Burton,WR,Florida,College Stats,2-Jun,224,4.62,30,,112,7.14,4.32,
Michael Campanaro,WR,Wake Forest,College Stats,9-May,192,4.46,39,20,122,6.77,4.01,Baltimore Ravens / 7th / 218th pick / 2014
Brandon Coleman,WR,Rutgers,College Stats,6-Jun,225,4.56,32.5,21,,7.33,4.51,
Kain Colter,WR,Northwestern,College Stats,10-May,198,4.71,,,,,,
Brandin Cooks,WR,Oregon State,College Stats,10-May,189,4.33,36,16,120,6.76,3.81,New Orleans Saints / 1st / 20th pick / 2014
Damian Copeland,WR,Louisville,College Stats,11-May,184,4.5,40,12,120,6.53,3.9,
Mike Davis,WR,Texas,College Stats,Jun-00,197,4.52,,10,,,,
Bruce Ellington,WR,South Carolina,College Stats,9-May,197,4.45,39.5,15,120,6.69,3.95,San Francisco 49ers / 4th / 106th pick / 2014
Quincy Enunwa,WR,Nebraska,College Stats,2-Jun,225,4.41,,19,,,,New York Jets / 6th / 209th pick / 2014
Mike Evans,WR,Texas A&M,College Stats,5-Jun,231,4.53,37,12,,7.08,4.26,Tampa Bay Buccaneers / 1st / 7th pick / 2014
Shaquelle Evans,WR,UCLA,College Stats,1-Jun,213,4.51,34.5,13,122,7.07,4.21,New York Jets / 4th / 115th pick / 2014
Bennie Fowler,WR,Michigan State,College Stats,1-Jun,217,4.52,36,,126,7.06,4.18,
Austin Franklin,WR,New Mexico State,College Stats,11-May,189,4.56,36,7,124,7.07,4.33,
Jeremy Gallon,WR,Michigan,College Stats,7-May,185,4.49,,15,,,,New England Patriots / 7th / 244th pick / 2014
Ryan Grant,WR,Tulane,College Stats,Jun-00,199,4.64,35.5,8,119,6.68,4.11,Washington Redskins / 5th / 142nd pick / 2014
Matt Hazel,WR,Coastal Carolina,,1-Jun,198,4.5,36.5,15,118,7.08,4.2,Miami Dolphins / 6th / 190th pick / 2014
Robert Herron,WR,Wyoming,College Stats,9-May,193,4.48,35.5,18,125,6.84,4.27,Tampa Bay Buccaneers / 6th / 185th pick / 2014
Cody Hoffman,WR,BYU,College Stats,4-Jun,223,4.65,27.5,13,108,6.89,4.2,
Josh Huff,WR,Oregon,College Stats,11-May,206,4.51,35.5,14,116,,,Philadelphia Eagles / 3rd / 86th pick / 2014
Allen Hurns,WR,Miami (FL),College Stats,1-Jun,198,4.55,31,14,120,7.23,4.5,
Jeff Janis,WR,Saginaw Valley State,,3-Jun,219,4.42,37.5,20,123,6.64,3.98,Green Bay Packers / 7th / 236th pick / 2014
T.J. Jones,WR,Notre Dame,College Stats,Jun-00,188,4.46,33,,119,6.82,4.27,Detroit Lions / 6th / 189th pick / 2014
"Odell Beckham, Jr.",WR,LSU,College Stats,11-May,198,4.38,38.5,7,122,6.69,3.94,New York Giants / 1st / 12th pick / 2014
Jarvis Landry,WR,LSU,College Stats,11-May,205,4.65,28.5,12,110,,,Miami Dolphins / 2nd / 63rd pick / 2014
Cody Latimer,WR,Indiana,College Stats,2-Jun,215,4.52,,23,,,,Denver Broncos / 2nd / 56th pick / 2014
Marqise Lee,WR,USC,College Stats,Jun-00,192,4.52,38,,127,,4.01,Jacksonville Jaguars / 2nd / 39th pick / 2014
Marcus Lucas,WR,Missouri,College Stats,4-Jun,218,4.6,36,20,124,7.07,4.25,
Jordan Matthews,WR,Vanderbilt,College Stats,3-Jun,212,4.46,35.5,21,120,6.95,4.18,Philadelphia Eagles / 2nd / 42nd pick / 2014
Donte Moncrief,WR,Mississippi,College Stats,2-Jun,221,4.4,39.5,13,132,7.02,4.3,Indianapolis Colts / 3rd / 90th pick / 2014
Kevin Norwood,WR,Alabama,College Stats,2-Jun,198,4.48,33,8,121,6.68,4.32,Seattle Seahawks / 4th / 123rd pick / 2014
Tevin Reese,WR,Baylor,College Stats,10-May,163,4.46,41,,132,6.63,4.18,San Diego Chargers / 7th / 240th pick / 2014
Paul Richardson,WR,Colorado,College Stats,Jun-00,175,4.4,38,,124,7.09,,Seattle Seahawks / 2nd / 45th pick / 2014
Allen Robinson,WR,Penn State,College Stats,3-Jun,220,4.6,39,,127,7,4,Jacksonville Jaguars / 2nd / 61st pick / 2014
Jalen Saunders,WR,Oklahoma,College Stats,9-May,165,4.44,34,,122,,,New York Jets / 4th / 104th pick / 2014
Willie Snead,WR,Ball State,College Stats,11-May,195,4.62,33.5,11,113,7.19,4.39,
Josh Stewart,WR,Oklahoma State,College Stats,10-May,178,4.69,35,11,117,7.1,4.33,
Devin Street,WR,Pittsburgh,College Stats,3-Jun,198,4.55,37,,124,6.89,4.01,Dallas Cowboys / 5th / 146th pick / 2014
L'Damian Washington,WR,Missouri,College Stats,4-Jun,195,4.46,32,8,115,7.19,4.35,
Sammy Watkins,WR,Clemson,College Stats,1-Jun,211,4.43,34,16,126,6.95,4.34,Buffalo Bills / 1st / 4th pick / 2014
Albert Wilson,WR,Georgia State,College Stats,9-May,202,4.43,37.5,10,123,7,4.21,
